Sno,Date,State_Union_Territories,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Total Cases
1,30/01/20,Kerala,1,0,0,0,1
2,31/01/20,Kerala,1,0,0,0,1
3,1/2/2020,Kerala,2,0,0,0,2
4,2/2/2020,Kerala,3,0,0,0,3
5,3/2/2020,Kerala,3,0,0,0,3
6,4/2/2020,Kerala,3,0,0,0,3
7,5/2/2020,Kerala,3,0,0,0,3
8,6/2/2020,Kerala,3,0,0,0,3
9,7/2/2020,Kerala,3,0,0,0,3
10,8/2/2020,Kerala,3,0,0,0,3
11,9/2/2020,Kerala,3,0,0,0,3
12,10/2/2020,Kerala,3,0,0,0,3
13,11/2/2020,Kerala,3,0,0,0,3
14,12/2/2020,Kerala,3,0,0,0,3
15,13/02/20,Kerala,3,0,0,0,3
16,14/02/20,Kerala,3,0,0,0,3
17,15/02/20,Kerala,3,0,0,0,3
18,16/02/20,Kerala,3,0,0,0,3
19,17/02/20,Kerala,3,0,0,0,3
20,18/02/20,Kerala,3,0,0,0,3
21,19/02/20,Kerala,3,0,0,0,3
22,20/02/20,Kerala,3,0,0,0,3
23,21/02/20,Kerala,3,0,0,0,3
24,22/02/20,Kerala,3,0,0,0,3
25,23/02/20,Kerala,3,0,0,0,3
26,24/02/20,Kerala,3,0,0,0,3
27,25/02/20,Kerala,3,0,0,0,3
28,26/02/20,Kerala,3,0,0,0,3
29,27/02/20,Kerala,3,0,0,0,3
30,28/02/20,Kerala,3,0,0,0,3
31,29/02/20,Kerala,3,0,0,0,3
32,1/3/2020,Kerala,3,0,0,0,3
33,2/3/2020,Telengana,1,0,0,0,1
34,2/3/2020,Kerala,3,0,0,0,3
35,2/3/2020,Delhi,1,0,0,0,1
36,3/3/2020,Telengana,1,0,0,0,1
37,3/3/2020,Rajasthan,0,1,0,0,1
38,3/3/2020,Kerala,3,0,3,0,3
39,3/3/2020,Delhi,1,0,0,0,1
40,4/3/2020,Uttar Pradesh,6,0,0,0,6
41,4/3/2020,Kerala,3,0,3,0,3
42,4/3/2020,Haryana,0,2,0,0,2
43,4/3/2020,Delhi,1,0,0,0,1
44,4/3/2020,Telengana,1,0,0,0,1
45,4/3/2020,Rajasthan,1,14,0,0,15
46,5/3/2020,Delhi,2,0,0,0,2
47,5/3/2020,Haryana,0,2,0,0,2
48,5/3/2020,Kerala,3,0,3,0,3
49,5/3/2020,Rajasthan,1,14,0,0,15
50,5/3/2020,Telengana,1,0,0,0,1
51,5/3/2020,Uttar Pradesh,7,0,0,0,7
52,6/3/2020,Delhi,3,0,0,0,3
53,6/3/2020,Haryana,0,2,0,0,2
54,6/3/2020,Kerala,3,0,3,0,3
55,6/3/2020,Rajasthan,1,14,0,0,15
56,6/3/2020,Uttar Pradesh,7,0,0,0,7
57,6/3/2020,Telengana,1,0,0,0,1
58,7/3/2020,Kerala,3,0,3,0,3
59,7/3/2020,Uttar Pradesh,7,0,0,0,7
60,7/3/2020,Ladakh,2,0,0,0,2
