Sno,State_Union_Territories,Population,Area (Km2),Density (/km2),Sex Ratio,Rural population,Urban population
1,Uttar Pradesh,199812341,240928,828,912,155317278,44495063
2,Maharashtra,112374333,307713,365,929,61556074,50818259
3,Bihar,104099452,94163,1102,918,92341436,11758016
4,West Bengal,91276115,88752,1029,953,62183113,29093002
5,Madhya Pradesh,72626809,308245,236,931,52557404,20069405
6,Tamil Nadu,72147030,130058,555,996,37229590,34917440
7,Rajasthan,68548437,342239,201,928,51500352,17048085
8,Karnataka,61095297,191791,319,973,37469335,23625962
9,Gujarat,60439692,196024,308,919,34694609,25745083
10,Andhra Pradesh,49577103,162968,303,993,34966693,14610410
11,Odisha,41974218,155707,269,979,34970562,7003656
12,Telangana,35003674,112077,312,988,21395009,13608665
13,Kerala,33406061,38863,859,1084,17471135,15934926
14,Jharkhand,32988134,79714,414,948,25055073,7933061
15,Assam,31205576,78438,397,954,26807034,4398542
16,Punjab,27743338,50362,550,895,17344192,10399146
17,Chhattisgarh,25545198,135191,189,991,19607961,5937237
18,Haryana,25351462,44212,573,879,16509359,8842103
19,Uttarakhand,10086292,53483,189,963,7036954,3049338
20,Himachal Pradesh,6864602,55673,123,972,6176050,688552
21,Tripura,3673917,10486,350,960,2712464,961453
22,Meghalaya,2966889,22429,132,989,2371439,595450
23,Manipur,2570390,22327,122,992,1793875,776515
24,Nagaland,1978502,16579,119,931,1407536,570966
25,Goa,1458545,3702,394,973,551731,906814
26,Arunachal Pradesh,1383727,83743,17,938,1066358,317369
27,Mizoram,1097206,21081,52,976,525435,571771
28,Sikkim,610577,7096,86,890,456999,153578
29,Delhi,16787941,1484,11297,868,419042,16368899
30,Jammu and Kashmir,12267032,125535,98,890,9064220,3202812
31,Puducherry,1247953,479,2598,1037,395200,852753
32,Chandigarh,1055450,114,9252,818,28991,1026459
33,Dadra and Nagar Haveli and Daman and Diu,585764,603,970,711,243510,342254
34,Andaman and Nicobar Islands,380581,8249,46,876,237093,143488
35,Ladakh,274000,96701,2.8,853,43840,230160
36,Lakshadweep,64473,32,2013,946,14141,50332
