,,,,,,,,,,,,,,,,,,,,,Western Pacific,Western Pacific,Western Pacific,Western Pacific
,,,,,,,,,,,,,,,,,,,,,2000,2005,2010,2015
,,,,,,,,,,,,,,,,,,,,,8100,4200,3500,3200
,,,,,,,,,,,,,,,,,,,,,,,,
Continent,2000,2005,2010,2015,,,,,,,,,,,,,,,,,,,,
Africa,764000,670000,499000,395000,,,,,,,,,,,,,,,,,,,,
South-East Asia,51000,48000,44000,32000,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean,15000,15000,7000,7300,,,,,,,,,,,,,,,,,,,,
Western Pacific,8100,4200,3500,3200,,,,,,,,,,,,,,,,,,,,
Americas,1600,1200,1100,500,,,,,,,,,,,,,,,,,,,,
Europe,0,0,0,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Continent,Cases,Deaths,Recovered,Recovery Ratio,Death Ratio,,,,,,,,,,,,,,,,,,,
Africa,2329,66,180,12.93888889,35.28787879,,,,,,,,,,,,,,,,,,,
South Asian,2756,100,,,,,,,,,,,,,,,,,,,,,,
