Entity,Code,Year,Under-5s (deaths),70+ years old (deaths),5-14 years old (deaths),15-49 years old (deaths),50-69 years old (deaths)
Afghanistan,AFG,1990,117.78782913477035,27.04327684238797,22.153216100342284,263.67760416753936,32.9504965038894
Afghanistan,AFG,1991,123.2191404520004,27.71838829337846,22.24005876566887,280.71616233767514,33.297864617367665
Afghanistan,AFG,1992,125.66350425755685,27.62841196015157,22.662288644891323,310.783497884391,34.976512893861745
Afghanistan,AFG,1993,155.20329476115705,28.200327871946634,25.96290857545908,420.91551090821383,45.37565371287038
Afghanistan,AFG,1994,198.95185425073038,30.05127362660381,28.826643621899606,475.15038414605795,49.46518356400824
Afghanistan,AFG,1995,212.3119751703686,30.396666336325165,30.40577358304265,492.3342298455201,49.596557989705644
Afghanistan,AFG,1996,238.93571638260448,32.28713497079517,32.21171749655957,530.5730240424036,52.40617607469002
Afghanistan,AFG,1997,233.6062702989813,32.665460708327025,33.870023010233155,542.0890563438923,52.49781508254513
Afghanistan,AFG,1998,246.2357990827062,34.513462344643806,37.77561343563083,571.5740081432955,54.78426184179399
Afghanistan,AFG,1999,242.03970216075646,35.087373876669965,40.991838588357744,581.1955798996157,54.38185192497662
Afghanistan,AFG,2000,238.65338436208927,35.43948817837621,43.091546368840845,559.0355542074086,48.61092368247121
Afghanistan,AFG,2001,230.6846999953665,35.489273910875134,46.50602769254673,590.0114017352984,49.71298085630216
Afghanistan,AFG,2002,216.36849231060268,36.28249928890587,49.67569189100927,600.1889686700106,48.8834255149995
Afghanistan,AFG,2003,271.062438070175,37.219657088735836,72.88901371472443,723.364214310953,55.90871867005281
Afghanistan,AFG,2004,278.60103708113775,35.361176223497445,78.22079519291148,685.6950287279903,51.45304924604175
Afghanistan,AFG,2005,274.2768462275816,35.11007584971638,78.79825744065731,707.6960507980615,52.20749549138315
Afghanistan,AFG,2006,268.547133574705,35.49551594821273,77.81479236976998,748.1996154981061,54.49595003742829
Afghanistan,AFG,2007,243.2409432857722,34.9927331989606,73.46504813933242,715.2945230351573,51.403260708945616
Afghanistan,AFG,2008,218.75686895886386,34.748924936027066,67.37688289131223,747.4724062615621,53.34303381689107
Afghanistan,AFG,2009,187.8306724346468,33.616032764645084,59.794526063082,763.6420707373015,54.117283415180125
Afghanistan,AFG,2010,170.99367070539742,32.024283723234404,57.292478827548365,767.3688561231829,53.970003291833045
Afghanistan,AFG,2011,142.3775806867613,29.31503909459872,51.79967943252636,765.7882874033602,54.46008798991237
Afghanistan,AFG,2012,120.23581239539064,27.025765802265752,45.90906722077063,750.4765996503271,54.628931500224695
Afghanistan,AFG,2013,138.95455405985,28.154103260993786,49.878748204749265,818.2682250922264,61.55241041439566
Afghanistan,AFG,2014,135.40060566458646,27.76721548615305,49.128758348335325,849.8613045848396,66.65890202602898
Afghanistan,AFG,2015,138.10769674701095,28.461840564175024,48.7365879065791,883.7624098477373,72.7536218229801
Afghanistan,AFG,2016,135.64614878447375,28.33549472243708,48.798552061908126,889.1552564426744,76.69740498223204
Afghanistan,AFG,2017,138.40054593822336,28.82943155162966,49.58215194919297,919.3763242173044,84.41209219348922
Albania,ALB,1990,0,0,0,0,0
Albania,ALB,1991,0,0,0,0,0
Albania,ALB,1992,0,0,0,0,0
Albania,ALB,1993,0,0,0,0,0
Albania,ALB,1994,0,0,0,0,0
Albania,ALB,1995,0,0,0,0,0
Albania,ALB,1996,0,0,0,0,0
Albania,ALB,1997,0,0,0,0,0
Albania,ALB,1998,0,0,0,0,0
Albania,ALB,1999,0,0,0,0,0
Albania,ALB,2000,0,0,0,0,0
Albania,ALB,2001,0,0,0,0,0
Albania,ALB,2002,0,0,0,0,0
Albania,ALB,2003,0,0,0,0,0
Albania,ALB,2004,0,0,0,0,0
Albania,ALB,2005,0,0,0,0,0
Albania,ALB,2006,0,0,0,0,0
Albania,ALB,2007,0,0,0,0,0
Albania,ALB,2008,0,0,0,0,0
Albania,ALB,2009,0,0,0,0,0
Albania,ALB,2010,0,0,0,0,0
Albania,ALB,2011,0,0,0,0,0
Albania,ALB,2012,0,0,0,0,0
Albania,ALB,2013,0,0,0,0,0
Albania,ALB,2014,0,0,0,0,0
Albania,ALB,2015,0,0,0,0,0
Albania,ALB,2016,0,0,0,0,0
Albania,ALB,2017,0,0,0,0,0
Algeria,DZA,1990,0.14789552684776247,0.48537678896689074,0.0841874405472244,3.3139097479841384,0.38347354834280833
Algeria,DZA,1991,0.14413993460429902,0.5050762385295158,0.0806487762627952,3.465597714741653,0.3896542121483704
Algeria,DZA,1992,0.13189876746105397,0.5239621909787693,0.07863573396809488,3.486494716713166,0.3900163394451561
Algeria,DZA,1993,0.1297697476768661,0.5622084099229465,0.07850488170014912,3.6173317734307813,0.4045502188503187
Algeria,DZA,1994,0.1282019241461265,0.5936213633285993,0.08084670583520405,3.7161383621719137,0.4293498491101431
Algeria,DZA,1995,0.1171251519567432,0.6055753196938117,0.07973971450631222,3.743269470090043,0.43899517743934013
Algeria,DZA,1996,0.11797058023968703,0.6456110776113503,0.08165530381653834,3.907718601213011,0.4609981245105894
